date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:04	56562/56562	---MCZ	200	added ('OK')	text/html	etag:%229229c9847ae4f248a0e054d61bbaaef3-ssl-df%22	https://realdealpainting.net/	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/index.html	(from )
15:12:04	91/91	---M--	200	added ('OK')	text/plain	etag:%2290b05da61d4e995bd8be647014aa8317-ssl%22	https://realdealpainting.net/robots.txt		(from )
15:12:05	87743/87743	---M--	200	added ('OK')	image/jpeg	etag:%2219a1c5891215fac7938a765f3cfdf45b-ssl%22	https://realdealpainting.net/assets/images/social.jpg	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/images/social.jpg	(from https://realdealpainting.net/)
15:12:05	866/866	---M--	200	added ('OK')	image/png	etag:%22d4554c5c899107def02254dd572ddf9c-ssl%22	https://realdealpainting.net/assets/favicons/apple-touch-icon.png	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/favicons/apple-touch-icon.png	(from https://realdealpainting.net/)
15:12:06	341/341	---M--	200	added ('OK')	image/png	etag:%22f00df4cf657ecf8925fd677fc2c96865-ssl%22	https://realdealpainting.net/assets/favicons/favicon-32x32.png?v1	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/favicons/favicon-32x326654.png	(from https://realdealpainting.net/)
15:12:06	278/278	---M--	200	added ('OK')	image/png	etag:%22c7d12183d7af29568cb8346158301da3-ssl%22	https://realdealpainting.net/assets/favicons/favicon-16x16.png	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/favicons/favicon-16x16.png	(from https://realdealpainting.net/)
15:12:07	405/405	---M--	200	added ('OK')	application/octet-stream	etag:%22178a69bb18d02058db394d8c1118dfcc-ssl%22	https://realdealpainting.net/assets/favicons/site.webmanifest	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/favicons/site.webmanifest	(from https://realdealpainting.net/)
15:12:07	3754/3754	---MCZ	200	added ('OK')	image/svg+xml	etag:%2286e54e35f7fbeb0888ddf1fac7009c76-ssl-df%22	https://realdealpainting.net/assets/images/logo.svg	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/images/logo.svg	(from https://realdealpainting.net/)
15:12:08	13820/13820	---M--	200	added ('OK')	font/woff2	etag:%22880c002e6bca0b7e51719c84c8fa2805-ssl%22	https://realdealpainting.net/assets/fonts/bebas-neue-v10-latin-regular.woff2	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/fonts/bebas-neue-v10-latin-regular.woff2	(from https://realdealpainting.net/)
15:12:08	12708/12708	---M--	200	added ('OK')	font/woff2	etag:%220d66afed5edd9e47aeee440caab779f9-ssl%22	https://realdealpainting.net/assets/fonts/montserrat-v25-latin-regular.woff2	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/fonts/montserrat-v25-latin-regular.woff2	(from https://realdealpainting.net/)
15:12:09	42926/42926	---MCZ	200	added ('OK')	text/css	etag:%22685cf8ae7711c86895a78e3aad0f49fd-ssl-df%22	https://realdealpainting.net/css/root.css	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/css/root.css	(from https://realdealpainting.net/)
15:12:09	956/956	---M--	200	added ('OK')	text/css	etag:%22be42cca5c1369a5c0fe569cb06b35281-ssl%22	https://realdealpainting.net/css/dark.css	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/css/dark.css	(from https://realdealpainting.net/)
15:12:10	30618/30618	---MCZ	200	added ('OK')	text/html	etag:%223b44753775e9b8e079c41769f6133c51-ssl-df%22	https://realdealpainting.net/about	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/about.html	(from https://realdealpainting.net/)
15:12:10	23752/23752	---MCZ	200	added ('OK')	text/html	etag:%2215aad4a124d6f14faab8f76765be5af1-ssl-df%22	https://realdealpainting.net/interior-house-painting	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/interior-house-painting.html	(from https://realdealpainting.net/)
15:12:11	24780/24780	---MCZ	200	added ('OK')	text/html	etag:%223de916fb040050af7d8a789d989d4052-ssl-df%22	https://realdealpainting.net/exterior-house-painters	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/exterior-house-painters.html	(from https://realdealpainting.net/)
15:12:12	24995/24995	---MCZ	200	added ('OK')	text/html	etag:%22cc8b7edb47c7ae5b605fa971160941ce-ssl-df%22	https://realdealpainting.net/kitchen-remodels	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/kitchen-remodels.html	(from https://realdealpainting.net/)
15:12:12	24229/24229	---MCZ	200	added ('OK')	text/html	etag:%22b21d07f275dc880bc2c6db081cebcdcd-ssl-df%22	https://realdealpainting.net/bathroom-remodels	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/bathroom-remodels.html	(from https://realdealpainting.net/)
15:12:13	23991/23991	---MCZ	200	added ('OK')	text/html	etag:%223928dc5f65e734de9bd2fdfed1a90b9a-ssl-df%22	https://realdealpainting.net/reviews	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/reviews.html	(from https://realdealpainting.net/)
15:12:13	27148/27148	---MCZ	200	added ('OK')	text/html	etag:%226be7d96eb80cd8e828fc90554ca36578-ssl-df%22	https://realdealpainting.net/portfolio	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/portfolio.html	(from https://realdealpainting.net/)
15:12:14	56562/56562	---MCZ	200	added ('OK')	text/html	etag:%229229c9847ae4f248a0e054d61bbaaef3-ssl-df%22	https://realdealpainting.net/index.html	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/index-2.html	(from https://realdealpainting.net/)
15:12:14	24606/24606	---MCZ	200	added ('OK')	text/html	etag:%226a8326d5ee660edf4865f56930c3ebb0-ssl-df%22	https://realdealpainting.net/painters-in-highland-in	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/painters-in-highland-in.html	(from https://realdealpainting.net/)
15:12:15	24660/24660	---MCZ	200	added ('OK')	text/html	etag:%22c55898b7e5063e4fbf08cf9d80042282-ssl-df%22	https://realdealpainting.net/painters-in-munster-in	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/painters-in-munster-in.html	(from https://realdealpainting.net/)
15:12:15	24614/24614	---MCZ	200	added ('OK')	text/html	etag:%2212ab3d8ee0a89a9d8af50af3f0c8b52f-ssl-df%22	https://realdealpainting.net/painters-in-griffith-in	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/painters-in-griffith-in.html	(from https://realdealpainting.net/)
15:12:16	23917/23917	---MCZ	200	added ('OK')	text/html	etag:%2294cf9ffaa4cd69f02bccf8fb85f80a23-ssl-df%22	https://realdealpainting.net/painters-in-hammond-in	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/painters-in-hammond-in.html	(from https://realdealpainting.net/)
15:12:16	23637/23637	---MCZ	200	added ('OK')	text/html	etag:%22b09f46794d0b550724fae84645c17009-ssl-df%22	https://realdealpainting.net/contact	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/contact.html	(from https://realdealpainting.net/)
15:12:16	32026/32026	---M--	200	added ('OK')	image/webp	etag:%22b4ec5c5d0da9b3cb1be6a9d435ec875e-ssl%22	https://realdealpainting.net/assets/images/landing-m.webp	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/assets/images/landing-m.webp	(from https://realdealpainting.net/)
15:12:17	4102/4102	---MCZ	200	added ('OK')	text/css	etag:%22a83d1f272f11d9792838bfed680fa03b-ssl-df%22	https://realdealpainting.net/css/critical.css	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/css/critical.css	(from https://realdealpainting.net/)
15:12:17	28422/28422	---MCZ	200	added ('OK')	text/css	etag:%227929cd1d58ed99ad08fbc61ab3d8980d-ssl-df%22	https://realdealpainting.net/css/local.css	C:/Users/charl/Desktop/House%20Painting/realdealpainting.net/css/local.css	(from https://realdealpainting.net/)
15:12:18	112988/112988	---M--	200	added ('OK')	image/jpeg	etag:b1730dc3faf8e386abf6f3f4df09b3f3a86056c8	https://d33wubrfki0l68.cloudfront.net/4f68c4f1124789d1736de57686a893b40ab84a72/b5fd0/assets/images/landing.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/4f68c4f1124789d1736de57686a893b40ab84a72/b5fd0/assets/images/landing.jpg	(from https://realdealpainting.net/)
15:12:18	56724/56724	---M--	200	added ('OK')	image/jpeg	etag:4833f3b4546a8ec7ef5562ea8dbc990d6faf0a70	https://d33wubrfki0l68.cloudfront.net/549546d7cdc3277637843e8b747875e59378088b/1cacc/assets/images/exterior.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/549546d7cdc3277637843e8b747875e59378088b/1cacc/assets/images/exterior.jpg	(from https://realdealpainting.net/)
15:12:18	37826/37826	---M--	200	added ('OK')	image/jpeg	etag:86552fe8c6e30245e1e9d1a21e5deb1c9e883fb5	https://d33wubrfki0l68.cloudfront.net/aea152fe5f3d993c7a59eb38f7d274ddebd70276/43b25/assets/images/interior.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/aea152fe5f3d993c7a59eb38f7d274ddebd70276/43b25/assets/images/interior.jpg	(from https://realdealpainting.net/)
15:12:18	59248/59248	---M--	200	added ('OK')	image/jpeg	etag:c3bfd619c60771fc48df0341baa2c897ad5810d5	https://d33wubrfki0l68.cloudfront.net/35e01c4d5ee19507afe0a839aa3f9d8f4ff0ef36/265f0/assets/images/fence.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/35e01c4d5ee19507afe0a839aa3f9d8f4ff0ef36/265f0/assets/images/fence.jpg	(from https://realdealpainting.net/)
15:12:19	35601/35601	---M--	200	added ('OK')	image/jpeg	etag:19b9fd0f45885343a5921bbbda571c20f0175c84	https://d33wubrfki0l68.cloudfront.net/40bd9c087449a69f7fef7ff4575a13c7ad898af6/926b5/assets/images/floor.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/40bd9c087449a69f7fef7ff4575a13c7ad898af6/926b5/assets/images/floor.jpg	(from https://realdealpainting.net/)
15:12:19	160048/160048	---M--	200	added ('OK')	image/jpeg	etag:9381919e067ba6027ddec88889024cfcbc43f334	https://d33wubrfki0l68.cloudfront.net/3d8a359bda300bd2458ae878f1551e60bb7b45ac/8bd6f/assets/images/exterior1.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/3d8a359bda300bd2458ae878f1551e60bb7b45ac/8bd6f/assets/images/exterior1.jpg	(from https://realdealpainting.net/)
15:12:19	175151/175151	---M--	200	added ('OK')	image/jpeg	etag:00844d8ebc6d6703235eed6a214ebc601e4334bc	https://d33wubrfki0l68.cloudfront.net/assets/images/790f112bde406d8bafbb8b8198008f92ef5890be/why.jpg	C:/Users/charl/Desktop/House%20Painting/d33wubrfki0l68.cloudfront.net/assets/images/790f112bde406d8bafbb8b8198008f92ef5890be/why.jpg	(from https://realdealpainting.net/)
